vote_id,for_or_against,vote_topic,vote_date,politic_name,vote_category
vote_1305,CONTRE,Projet de loi relatif aux Jeux olympiques de Paris 2024,28 mars 2023,manuel-bompard,sports
vote_1243,CONTRE,Projet de loi d’accélération de l'énergie nucléaire,21 mars 2023,manuel-bompard,economie
vote_1240,POUR,Réforme des retraites : Motion de censure transpartisane,20 mars 2023,manuel-bompard,institutions
vote_972,CONTRE,Retraites : créer un « index senior » dans les entreprises,14 févr. 2023,manuel-bompard,affaires-sociales
vote_947,CONTRE,Supprimer certains régimes spéciaux de retraite,10 févr. 2023,manuel-bompard,affaires-sociales
vote_931,POUR,Assurer un repas à 1 euros pour tous les étudiants,09 févr. 2023,manuel-bompard,affaires-sociales
vote_823,CONTRE,Projet de loi accélérant la production d’énergies renouvelables,10 janv. 2023,manuel-bompard,environnement
vote_652,ABSTENTION,Proposition de résolution soutenant l'Ukraine et condamnant la guerre menée par la Russie,30 nov. 2022,manuel-bompard,affaires-etrangeres
vote_633,POUR,Proposition de résolution en soutien au peuple iranien,28 nov. 2022,manuel-bompard,affaires-etrangeres
vote_629,POUR,Proposition de loi visant à inscrire l'IVG dans la Constitution,24 nov. 2022,manuel-bompard,sante-solidarite
vote_623,CONTRE,Projet de loi d'orientation et de programmation du ministère de l'Intérieur (LOPMI),22 nov. 2022,manuel-bompard,justice
vote_531,POUR,Créer une aide exceptionnelle de 230 millions d'euros pour les ménages se chauffant au bois,08 nov. 2022,manuel-bompard,economie
vote_557,CONTRE,Projet de loi de finances rectificative pour 2022,08 nov. 2022,manuel-bompard,economie
vote_530,CONTRE,"Réintroduire la réserve parlementaire, un fonds permettant aux députés de soutenir des associations",08 nov. 2022,manuel-bompard,institutions
vote_510,ABSTENTION,"Baisser le taux de TVA sur l'énergie : gaz, électricité, fioul, carburants",07 nov. 2022,manuel-bompard,economie
vote_490,POUR,Augmenter de 5 milliards d'euros les crédits pour la rénovation thermique des bâtiments,31 oct. 2022,manuel-bompard,environnement
vote_361,CONTRE,Projet de loi de programmation des finances publiques (2023 à 2027),25 oct. 2022,manuel-bompard,economie
vote_325,POUR,Rétablir l'impôt de solidarité sur la fortune (ISF),17 oct. 2022,manuel-bompard,economie
vote_315,CONTRE,Relever l’abattement sur les successions et donations de 100 000 € à 150 000 €,14 oct. 2022,manuel-bompard,affaires-sociales
vote_269,POUR,Créer une taxe temporaire sur les super-dividendes distribuées par les grandes entreprises,12 oct. 2022,manuel-bompard,economie
vote_208,CONTRE,Moduler l'assurance chômage en fonction de la conjoncture économique,04 oct. 2022,manuel-bompard,affaires-sociales
vote_189,CONTRE,Approuver le partenariat entre la France et le Qatar pour la sécurité du Mondial de foot,04 août 2022,manuel-bompard,affaires-etrangeres
vote_184,CONTRE,Ratifier l'accord sur l'adhésion à l'OTAN de la Suède et de la Finlande,02 août 2022,manuel-bompard,affaires-etrangeres
vote_180,CONTRE,Projet de loi de finances rectificative pour 2022 : paquet sur le pouvoir d'achat,26 juill. 2022,manuel-bompard,economie
vote_126,POUR,Créer une nouvelle aide financière exceptionnelle pour les particuliers se chauffant au fioul,25 juill. 2022,manuel-bompard,economie
vote_131,POUR,Demander la gratuité de 40 litres d'eau par jour et par personne,25 juill. 2022,manuel-bompard,economie
vote_101,CONTRE,"Supprimer la redevance audiovisuelle, la taxe finançant l'audiovisuel public",23 juill. 2022,manuel-bompard,culture
vote_105,POUR,Créer une taxe exceptionnelle sur les super‑profits des entreprises pétrolières et des concessionnaires d'autoroutes,23 juill. 2022,manuel-bompard,economie
vote_81,CONTRE,Projet de loi pour le pouvoir d'achat,21 juill. 2022,manuel-bompard,economie
vote_44,POUR,Augmenter le salaire minimum (SMIC) à 1500 euros net mensuel,20 juill. 2022,manuel-bompard,economie
vote_1,POUR,Motion de censure de la NUPES contre le gouvernement d'Élisabeth Borne,11 juill. 2022,manuel-bompard,institutions
